Genişletilmiş Sentetik Gönüllü ve Eğitim Veri Seti;;;;;;;
;;;;;;;
Başlık;Açıklama;;;;;;
Veri Niteliği;Tüm kişi, hesap, eğitim, sertifika, katılım ve sınav bilgileri tamamen sentetiktir.;;;;;;
Eğitim Türleri;Afet Farkındalık, Depremde Arama ve Kurtarma, Enkazda Arama ve Kurtarma Temel, Navigasyon, Kampçılık, Haberleşme ve Yangın Farkındalık.;;;;;;
Tarih Biçimi;"Tarih alanları gg.aa.yyyy; tarih-saat alanları gg.aa.yyyy ss:dd biçiminde gösterilir.";;;;;;
İlişkiler;Gönüllü ID, Eğitmen ID, Merkez Sorumlu ID, Eğitim ID ve Sınav ID alanları sayfalar arasında ilişki kurar.;;;;;;
Hesaplar;Her gönüllü, eğitmen ve merkez eğitim sorumlusu e-posta ve sentetik şifre ile bir hesaba bağlıdır.;;;;;;
Sınavlar;Katılımcı bazında sınava girme durumu, alınan puan ve geçti/kaldı bilgisi bulunur.;;;;;;
Referans Tarihi;17.07.2026;;;;;;
Yeni Seviyeli Eğitimler;Kentsel Arama Kurtarma, Su Arama Kurtarma ve Doğada Arama Kurtarma eğitimleri Seviye 1-5 olarak eklenmiştir.;;;;;;
Seviye Yapısı;"Her eğitim grubu için 5 seviye vardır; süre ve geçme puanı seviyeye göre artar.";;;;;;
Toplam Yeni Eğitim;15;;;;;;

Gönüllü ID;Ad Soyad;Telefon;Telefon Son Güncelleme;E-posta;Şifre;İl;Bölge;Aldığı Eğitimler;Uzmanlık Alanı;Durum;
GNL-0011;Kerem Çelik;+90 555 200 0011;27.08.2025;kerem.celik.11@ornek.org;GNLZofgcq836!011;Muğla;Ege;Yangın Farkındalık Eğitimi;Yangın;Pasif;
GNL-0012;Elif Kara;+90 555 200 0012;04.06.2025;elif.kara.12@ornek.org;GNLWeweof337!012;Amasya;Karadeniz;Enkazda Arama ve Kurtarma Temel Eğitimi, Kampçılık Eğitimi, Depremde Arama ve Kurtarma Eğitimi, Haberleşme Eğitimi;Doğa;Aktif;
GNL-0013;Mert Aksoy;+90 555 200 0013;12.08.2025;mert.aksoy.13@ornek.org;GNLWrnmvb621!013;Van;Doğu Anadolu;Kampçılık Eğitimi, Afet Farkındalık Eğitimi, Yangın Farkındalık Eğitimi;Afet;Aktif;
GNL-0014;Hakan Çelik;+90 555 200 0014;26.03.2026;hakan.celik.14@ornek.org;GNLAschrf175!014;Gaziantep;Güneydoğu Anadolu;Kampçılık Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Haberleşme Eğitimi, Yangın Farkındalık Eğitimi;Doğa;Pasif;
GNL-0015;Furkan Öztürk;+90 555 200 0015;18.10.2024;furkan.ozturk.15@ornek.org;GNLMdyhtk912!015;Sivas;İç Anadolu;Depremde Arama ve Kurtarma Eğitimi, Yangın Farkındalık Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi;Yangın;Aktif;
GNL-0016;Ece Doğan;+90 555 200 0016;18.06.2026;ece.dogan.16@ornek.org;GNLEdlhue276!016;Adana;Akdeniz;Navigasyon Eğitimi, Haberleşme Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Kampçılık Eğitimi;Navigasyon;Aktif;
GNL-0017;Pelin Aydın;+90 555 200 0017;09.06.2025;pelin.aydin.17@ornek.org;GNLVmlcpb352!017;İzmir;Ege;Enkazda Arama ve Kurtarma Temel Eğitimi, Haberleşme Eğitimi, Yangın Farkındalık Eğitimi, Depremde Arama ve Kurtarma Eğitimi;Yangın;Aktif;
GNL-0018;Derya Aksoy;+90 555 200 0018;02.02.2026;derya.aksoy.18@ornek.org;GNLFvsqec971!018;Kayseri;İç Anadolu;Navigasyon Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi;Navigasyon;Aktif;
GNL-0019;Melis Öztürk;+90 555 200 0019;02.09.2024;melis.ozturk.19@ornek.org;GNLZrdgjv437!019;Adana;Akdeniz;Navigasyon Eğitimi;Navigasyon;Aktif;
GNL-0020;Zeynep Kaya;+90 555 200 0020;13.01.2025;zeynep.kaya.20@ornek.org;GNLKgnnjs754!020;Manisa;Ege;Haberleşme Eğitimi, Depremde Arama ve Kurtarma Eğitimi, Navigasyon Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0021;Burak Öztürk;+90 555 200 0021;12.01.2025;burak.ozturk.21@ornek.org;GNLYyoedh973!021;Mersin;Akdeniz;Depremde Arama ve Kurtarma Eğitimi, Navigasyon Eğitimi, Yangın Farkındalık Eğitimi;Navigasyon;Aktif;
GNL-0022;Elif Çetin;+90 555 200 0022;07.02.2025;elif.cetin.22@ornek.org;GNLBmkldm182!022;Denizli;Ege;Afet Farkındalık Eğitimi, Depremde Arama ve Kurtarma Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0023;İrem Aslan;+90 555 200 0023;20.12.2024;irem.aslan.23@ornek.org;GNLKcouwy931!023;Muğla;Ege;Kampçılık Eğitimi;Doğa;Aktif;
GNL-0024;Melis Yılmaz;+90 555 200 0024;24.12.2024;melis.yilmaz.24@ornek.org;GNLXjjfey748!024;İzmir;Ege;Yangın Farkındalık Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Afet Farkındalık Eğitimi, Navigasyon Eğitimi;Afet;Aktif;
GNL-0025;Furkan Şahin;+90 555 200 0025;23.02.2025;furkan.sahin.25@ornek.org;GNLZshwug862!025;Amasya;Karadeniz;Haberleşme Eğitimi;Haberleşme;Aktif;
GNL-0026;Pelin Şahin;+90 555 200 0026;09.04.2026;pelin.sahin.26@ornek.org;GNLEbbqjn252!026;Antalya;Akdeniz;Yangın Farkındalık Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Kampçılık Eğitimi;Doğa;Aktif;
GNL-0027;Nazlı Kara;+90 555 200 0027;11.03.2026;nazli.kara.27@ornek.org;GNLTtlaov896!027;Samsun;Karadeniz;Yangın Farkındalık Eğitimi, Afet Farkındalık Eğitimi, Kampçılık Eğitimi, Navigasyon Eğitimi;Doğa;Aktif;
GNL-0028;Hakan Şahin;+90 555 200 0028;11.09.2025;hakan.sahin.28@ornek.org;GNLDccntj243!028;Aydın;Ege;Kampçılık Eğitimi, Navigasyon Eğitimi, Depremde Arama ve Kurtarma Eğitimi;Doğa;Aktif;
GNL-0029;Barış Koç;+90 555 200 0029;05.07.2026;baris.koc.29@ornek.org;GNLSvxrgz873!029;Balıkesir;Marmara;Yangın Farkındalık Eğitimi, Depremde Arama ve Kurtarma Eğitimi;Arama ve Kurtarma;Pasif;
GNL-0030;Hakan Çetin;+90 555 200 0030;01.04.2026;hakan.cetin.30@ornek.org;GNLDtltsk170!030;Kayseri;İç Anadolu;Afet Farkındalık Eğitimi, Haberleşme Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi;Haberleşme;Aktif;
GNL-0031;Hakan Yıldız;+90 555 200 0031;04.03.2026;hakan.yildiz.31@ornek.org;GNLKrwcqq592!031;Kocaeli;Marmara;Afet Farkındalık Eğitimi;Afet;Aktif;
GNL-0032;Selin Aslan;+90 555 200 0032;30.05.2025;selin.aslan.32@ornek.org;GNLRwqwbk236!032;Şanlıurfa;Güneydoğu Anadolu;Haberleşme Eğitimi, Depremde Arama ve Kurtarma Eğitimi;Haberleşme;Aktif;
GNL-0033;Ece Özdemir;+90 555 200 0033;13.11.2024;ece.ozdemir.33@ornek.org;GNLBkaodm415!033;Amasya;Karadeniz;Navigasyon Eğitimi;Navigasyon;Aktif;
GNL-0034;Onur Aydın;+90 555 200 0034;16.07.2025;onur.aydin.34@ornek.org;GNLJfvomn483!034;Mersin;Akdeniz;Yangın Farkındalık Eğitimi, Afet Farkındalık Eğitimi, Kampçılık Eğitimi, Haberleşme Eğitimi;Afet;Aktif;
GNL-0035;Zeynep Polat;+90 555 200 0035;21.02.2025;zeynep.polat.35@ornek.org;GNLHnwklo939!035;Muğla;Ege;Kampçılık Eğitimi;Doğa;Aktif;
GNL-0036;Ayşe Şimşek;+90 555 200 0036;18.04.2026;ayse.simsek.36@ornek.org;GNLLgetdl666!036;Isparta;Akdeniz;Enkazda Arama ve Kurtarma Temel Eğitimi, Afet Farkındalık Eğitimi, Yangın Farkındalık Eğitimi;Yangın;Aktif;
GNL-0037;Onur Aslan;+90 555 200 0037;19.08.2025;onur.aslan.37@ornek.org;GNLZjwxvt845!037;İstanbul;Marmara;Depremde Arama ve Kurtarma Eğitimi, Haberleşme Eğitimi;Haberleşme;Aktif;
GNL-0038;Ayşe Kılıç;+90 555 200 0038;14.05.2026;ayse.kilic.38@ornek.org;GNLOckupm164!038;İstanbul;Marmara;Navigasyon Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Yangın Farkındalık Eğitimi, Haberleşme Eğitimi;Navigasyon;Aktif;
GNL-0039;Furkan Kurt;+90 555 200 0039;11.05.2026;furkan.kurt.39@ornek.org;GNLGyauqh655!039;Aydın;Ege;Enkazda Arama ve Kurtarma Temel Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0040;Selin Özdemir;+90 555 200 0040;13.12.2025;selin.ozdemir.40@ornek.org;GNLOzkcqh719!040;Diyarbakır;Güneydoğu Anadolu;Yangın Farkındalık Eğitimi, Kampçılık Eğitimi, Depremde Arama ve Kurtarma Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0041;Selin Polat;+90 555 200 0041;29.05.2026;selin.polat.41@ornek.org;GNLEjlxlz508!041;Malatya;Doğu Anadolu;Haberleşme Eğitimi, Navigasyon Eğitimi, Kampçılık Eğitimi, Depremde Arama ve Kurtarma Eğitimi;Navigasyon;Aktif;
GNL-0042;Elif Çetin;+90 555 200 0042;08.07.2025;elif.cetin.42@ornek.org;GNLFxukti310!042;Şanlıurfa;Güneydoğu Anadolu;Yangın Farkındalık Eğitimi, Afet Farkındalık Eğitimi;Afet;Aktif;
GNL-0043;Nazlı Doğan;+90 555 200 0043;02.01.2025;nazli.dogan.43@ornek.org;GNLPrbhoy462!043;Ankara;İç Anadolu;Enkazda Arama ve Kurtarma Temel Eğitimi, Haberleşme Eğitimi, Navigasyon Eğitimi, Kampçılık Eğitimi;Doğa;Aktif;
GNL-0044;Ayşe Çelik;+90 555 200 0044;21.04.2025;ayse.celik.44@ornek.org;GNLKobenw638!044;İstanbul;Marmara;Kampçılık Eğitimi, Afet Farkındalık Eğitimi, Navigasyon Eğitimi;Afet;Aktif;
GNL-0045;Can Aksoy;+90 555 200 0045;26.03.2025;can.aksoy.45@ornek.org;GNLTobyuo476!045;Kocaeli;Marmara;Navigasyon Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Haberleşme Eğitimi;Navigasyon;Aktif;
GNL-0046;Barış Yıldız;+90 555 200 0046;19.12.2024;baris.yildiz.46@ornek.org;GNLBltfgb346!046;Gaziantep;Güneydoğu Anadolu;Haberleşme Eğitimi, Navigasyon Eğitimi;Haberleşme;Aktif;
GNL-0047;Umut Şahin;+90 555 200 0047;21.09.2024;umut.sahin.47@ornek.org;GNLIbdrnp803!047;Trabzon;Karadeniz;Yangın Farkındalık Eğitimi, Depremde Arama ve Kurtarma Eğitimi, Kampçılık Eğitimi, Haberleşme Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0048;Mert Polat;+90 555 200 0048;25.02.2025;mert.polat.48@ornek.org;GNLScocaz658!048;Mardin;Güneydoğu Anadolu;Depremde Arama ve Kurtarma Eğitimi, Afet Farkındalık Eğitimi, Yangın Farkındalık Eğitimi, Haberleşme Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0049;Ece Öztürk;+90 555 200 0049;19.09.2024;ece.ozturk.49@ornek.org;GNLJiptls308!049;Amasya;Karadeniz;Navigasyon Eğitimi, Yangın Farkındalık Eğitimi;Navigasyon;Aktif;
GNL-0050;Hakan Özdemir;+90 555 200 0050;27.04.2026;hakan.ozdemir.50@ornek.org;GNLHaycgc195!050;Konya;İç Anadolu;Yangın Farkındalık Eğitimi, Kampçılık Eğitimi;Yangın;Aktif;
GNL-0051;Melis Çetin;+90 555 200 0051;10.07.2025;melis.cetin.51@ornek.org;GNLZjefgz334!051;Antalya;Akdeniz;Afet Farkındalık Eğitimi, Navigasyon Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Yangın Farkındalık Eğitimi;Afet;Aktif;
GNL-0052;Ceren Yılmaz;+90 555 200 0052;04.11.2024;ceren.yilmaz.52@ornek.org;GNLGlqmvi675!052;Muğla;Ege;Yangın Farkındalık Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Depremde Arama ve Kurtarma Eğitimi, Afet Farkındalık Eğitimi;Afet;Pasif;
GNL-0053;Tolga Kurt;+90 555 200 0053;27.06.2026;tolga.kurt.53@ornek.org;GNLWrvllp214!053;Gaziantep;Güneydoğu Anadolu;Kampçılık Eğitimi, Yangın Farkındalık Eğitimi, Navigasyon Eğitimi;Yangın;Aktif;
GNL-0054;Aslı Aydın;+90 555 200 0054;24.08.2025;asli.aydin.54@ornek.org;GNLEwfhvv637!054;Denizli;Ege;Yangın Farkındalık Eğitimi;Yangın;Pasif;
GNL-0055;İrem Çelik;+90 555 200 0055;12.02.2026;irem.celik.55@ornek.org;GNLWpqenl631!055;Manisa;Ege;Haberleşme Eğitimi, Depremde Arama ve Kurtarma Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0056;Umut Şahin;+90 555 200 0056;22.05.2026;umut.sahin.56@ornek.org;GNLFzgrdi390!056;İstanbul;Marmara;Haberleşme Eğitimi, Navigasyon Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi;Haberleşme;Aktif;
GNL-0057;Emre Doğan;+90 555 200 0057;27.12.2025;emre.dogan.57@ornek.org;GNLQeqfar392!057;Adana;Akdeniz;Navigasyon Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi;Navigasyon;Aktif;
GNL-0058;Melis Kılıç;+90 555 200 0058;18.04.2026;melis.kilic.58@ornek.org;GNLSwfhaq689!058;Balıkesir;Marmara;Depremde Arama ve Kurtarma Eğitimi, Afet Farkındalık Eğitimi, Navigasyon Eğitimi, Haberleşme Eğitimi;Haberleşme;Aktif;
GNL-0059;Tuğçe Doğan;+90 555 200 0059;20.06.2026;tugce.dogan.59@ornek.org;GNLNpzvru194!059;Gaziantep;Güneydoğu Anadolu;Yangın Farkındalık Eğitimi, Navigasyon Eğitimi, Afet Farkındalık Eğitimi, Depremde Arama ve Kurtarma Eğitimi;Afet;Aktif;
GNL-0060;Ceren Aydın;+90 555 200 0060;19.11.2024;ceren.aydin.60@ornek.org;GNLGzwhuj115!060;Tekirdağ;Marmara;Enkazda Arama ve Kurtarma Temel Eğitimi, Afet Farkındalık Eğitimi;Afet;Aktif;
GNL-0061;Emre Koç;+90 555 200 0061;01.07.2026;emre.koc.61@ornek.org;GNLOhjnbe200!061;Kars;Doğu Anadolu;Navigasyon Eğitimi, Haberleşme Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi;Arama ve Kurtarma;Pasif;
GNL-0062;Mehmet Aksoy;+90 555 200 0062;21.05.2026;mehmet.aksoy.62@ornek.org;GNLTcsfsr818!062;Rize;Karadeniz;Navigasyon Eğitimi, Kampçılık Eğitimi, Depremde Arama ve Kurtarma Eğitimi;Doğa;Aktif;
GNL-0063;Derya Kaya;+90 555 200 0063;15.09.2025;derya.kaya.63@ornek.org;GNLOqcxom211!063;Muğla;Ege;Kampçılık Eğitimi;Doğa;Aktif;
GNL-0064;Hakan Aslan;+90 555 200 0064;25.07.2025;hakan.aslan.64@ornek.org;GNLLcirxz117!064;İzmir;Ege;Enkazda Arama ve Kurtarma Temel Eğitimi, Yangın Farkındalık Eğitimi;Yangın;Aktif;
GNL-0065;Aslı Polat;+90 555 200 0065;12.12.2025;asli.polat.65@ornek.org;GNLIbgrwu215!065;Malatya;Doğu Anadolu;Yangın Farkındalık Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Kampçılık Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0066;Barış Kaya;+90 555 200 0066;02.01.2025;baris.kaya.66@ornek.org;GNLOdmmfw894!066;Ordu;Karadeniz;Haberleşme Eğitimi;Haberleşme;Aktif;
GNL-0067;Emre Öztürk;+90 555 200 0067;25.11.2025;emre.ozturk.67@ornek.org;GNLGvgpsn521!067;Diyarbakır;Güneydoğu Anadolu;Enkazda Arama ve Kurtarma Temel Eğitimi, Depremde Arama ve Kurtarma Eğitimi, Afet Farkındalık Eğitimi, Kampçılık Eğitimi;Doğa;Aktif;
GNL-0068;Buse Aydın;+90 555 200 0068;12.07.2026;buse.aydin.68@ornek.org;GNLPcmtib856!068;Bursa;Marmara;Depremde Arama ve Kurtarma Eğitimi, Yangın Farkındalık Eğitimi;Yangın;Aktif;
GNL-0069;Elif Çelik;+90 555 200 0069;07.09.2025;elif.celik.69@ornek.org;GNLDspiid894!069;Eskişehir;İç Anadolu;Navigasyon Eğitimi;Navigasyon;Aktif;
GNL-0070;Pelin Aksoy;+90 555 200 0070;01.11.2024;pelin.aksoy.70@ornek.org;GNLEfpegv789!070;Mardin;Güneydoğu Anadolu;Navigasyon Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Kampçılık Eğitimi, Haberleşme Eğitimi;Haberleşme;Aktif;
GNL-0071;Hakan Aslan;+90 555 200 0071;23.10.2025;hakan.aslan.71@ornek.org;GNLGzqvos300!071;Isparta;Akdeniz;Yangın Farkındalık Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Depremde Arama ve Kurtarma Eğitimi, Haberleşme Eğitimi;Haberleşme;Aktif;
GNL-0072;Emre Özdemir;+90 555 200 0072;25.11.2025;emre.ozdemir.72@ornek.org;GNLExmrls673!072;Erzurum;Doğu Anadolu;Depremde Arama ve Kurtarma Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0073;Pelin Yılmaz;+90 555 200 0073;20.10.2024;pelin.yilmaz.73@ornek.org;GNLKcuruc743!073;Malatya;Doğu Anadolu;Kampçılık Eğitimi;Doğa;Aktif;
GNL-0074;Ayşe Özdemir;+90 555 200 0074;19.09.2024;ayse.ozdemir.74@ornek.org;GNLHtgcso513!074;Manisa;Ege;Haberleşme Eğitimi, Depremde Arama ve Kurtarma Eğitimi, Navigasyon Eğitimi;Haberleşme;Aktif;
GNL-0075;Melis Aksoy;+90 555 200 0075;20.06.2025;melis.aksoy.75@ornek.org;GNLRekbdl186!075;Manisa;Ege;Afet Farkındalık Eğitimi, Depremde Arama ve Kurtarma Eğitimi, Navigasyon Eğitimi, Kampçılık Eğitimi;Afet;Pasif;
GNL-0076;Elif Şimşek;+90 555 200 0076;04.01.2025;elif.simsek.76@ornek.org;GNLDflulz225!076;Samsun;Karadeniz;Yangın Farkındalık Eğitimi;Yangın;Aktif;
GNL-0077;Can Şahin;+90 555 200 0077;11.10.2025;can.sahin.77@ornek.org;GNLTeucvt180!077;Van;Doğu Anadolu;Yangın Farkındalık Eğitimi, Depremde Arama ve Kurtarma Eğitimi;Yangın;Aktif;
GNL-0078;Mert Kara;+90 555 200 0078;04.10.2024;mert.kara.78@ornek.org;GNLBflfqw280!078;Gaziantep;Güneydoğu Anadolu;Yangın Farkındalık Eğitimi, Haberleşme Eğitimi;Yangın;Aktif;
GNL-0079;Seda Çetin;+90 555 200 0079;07.03.2025;seda.cetin.79@ornek.org;GNLKslupn991!079;Balıkesir;Marmara;Afet Farkındalık Eğitimi;Afet;Pasif;
GNL-0080;Buse Kaya;+90 555 200 0080;06.05.2025;buse.kaya.80@ornek.org;GNLPbzyzg743!080;Van;Doğu Anadolu;Navigasyon Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Haberleşme Eğitimi, Kampçılık Eğitimi;Navigasyon;Aktif;


Sertifika ID;Gönüllü ID;Sertifika Adı;Alan;Veriliş Tarihi;Geçerlilik Bitişi;Durum;
GSRT-0001;GNL-0001;Navigasyon Eğitimi Katılım Sertifikası;Navigasyon;14.01.2024;13.01.2027;Geçerli;
GSRT-0002;GNL-0001;Yangın Farkındalık Eğitimi Katılım Sertifikası;Yangın;15.08.2024;15.08.2027;Geçerli;
GSRT-0003;GNL-0001;Depremde Arama ve Kurtarma Eğitimi Katılım Sertifikası;Arama ve Kurtarma;15.02.2024;14.02.2027;Geçerli;
GSRT-0004;GNL-0002;Afet Farkındalık Eğitimi Katılım Sertifikası;Afet;28.07.2023;27.07.2026;Geçerli;
GSRT-0005;GNL-0002;Yangın Farkındalık Eğitimi Katılım Sertifikası;Yangın;27.12.2022;26.12.2025;Süresi Dolmuş;
GSRT-0006;GNL-0003;Depremde Arama ve Kurtarma Eğitimi Katılım Sertifikası;Arama ve Kurtarma;10.07.2023;09.07.2026;Süresi Dolmuş;
GSRT-0007;GNL-0004;Kampçılık Eğitimi Katılım Sertifikası;Doğa;02.03.2025;01.03.2028;Geçerli;
GSRT-0008;GNL-0005;Yangın Farkındalık Eğitimi Katılım Sertifikası;Yangın;24.12.2024;24.12.2027;Geçerli;
GSRT-0009;GNL-0006;Depremde Arama ve Kurtarma Eğitimi Katılım Sertifikası;Arama ve Kurtarma;21.02.2023;20.02.2026;Süresi Dolmuş;
GSRT-0010;GNL-0007;Yangın Farkındalık Eğitimi Katılım Sertifikası;Yangın;14.08.2024;14.08.2027;Geçerli;
GSRT-0011;GNL-0007;Haberleşme Eğitimi Katılım Sertifikası;Haberleşme;06.04.2023;05.04.2026;Süresi Dolmuş;
GSRT-0012;GNL-0007;Kampçılık Eğitimi Katılım Sertifikası;Doğa;20.03.2023;19.03.2026;Süresi Dolmuş;
GSRT-0013;GNL-0008;Enkazda Arama ve Kurtarma Temel Eğitimi Katılım Sertifikası;Arama ve Kurtarma;11.08.2024;11.08.2027;Geçerli;
GSRT-0014;GNL-0009;Afet Farkındalık Eğitimi Katılım Sertifikası;Afet;19.11.2025;18.11.2028;Geçerli;
GSRT-0015;GNL-0010;Depremde Arama ve Kurtarma Eğitimi Katılım Sertifikası;Arama ve Kurtarma;25.03.2026;24.03.2029;Geçerli;
GSRT-0016;GNL-0011;Yangın Farkındalık Eğitimi Katılım Sertifikası;Yangın;29.09.2025;28.09.2028;Geçerli;
GSRT-0017;GNL-0012;Depremde Arama ve Kurtarma Eğitimi Katılım Sertifikası;Arama ve Kurtarma;26.04.2023;25.04.2026;Süresi Dolmuş;
GSRT-0018;GNL-0012;Haberleşme Eğitimi Katılım Sertifikası;Haberleşme;24.08.2025;23.08.2028;Geçerli;
GSRT-0019;GNL-0012;Enkazda Arama ve Kurtarma Temel Eğitimi Katılım Sertifikası;Arama ve Kurtarma;09.04.2024;09.04.2027;Geçerli;
GSRT-0020;GNL-0012;Kampçılık Eğitimi Katılım Sertifikası;Doğa;28.03.2023;27.03.2026;Süresi Dolmuş;
GSRT-0021;GNL-0013;Afet Farkındalık Eğitimi Katılım Sertifikası;Afet;14.08.2024;14.08.2027;Geçerli;
GSRT-0022;GNL-0014;Enkazda Arama ve Kurtarma Temel Eğitimi Katılım Sertifikası;Arama ve Kurtarma;18.08.2025;17.08.2028;Geçerli;
GSRT-0023;GNL-0014;Yangın Farkındalık Eğitimi Katılım Sertifikası;Yangın;30.04.2025;29.04.2028;Geçerli;
GSRT-0024;GNL-0014;Haberleşme Eğitimi Katılım Sertifikası;Haberleşme;02.06.2025;01.06.2028;Geçerli;
GSRT-0025;GNL-0015;Yangın Farkındalık Eğitimi Katılım Sertifikası;Yangın;13.08.2024;13.08.2027;Geçerli;
